Ticker,Company Name,Sector,Industry,RS_Rating,Long_Score,Last Close,Price as a % of 52 Wk H-L Range,Market Cap (mil)
SEZL,Sezzle Inc.,Business Services,Financial Transaction Services,98,92.65,170.7,91.26,5740.13
VICR,Vicor,Computer and Technology,Electronics - Miscellaneous Components,98,89.5,366.79,100.0,16718.8
DAVE,DAVE INC,Business Services,Technology Services,97,92.1,371.62,100.0,4724.87
PTRN,Pattern Group Inc.,Retail-Wholesale,Internet - Commerce,95,87.25,24.45,100.0,3793.75
MAMA,"Mama's Creations, Inc.",Consumer Staples,Food - Miscellaneous,90,85.1,20.65,100.0,840.59
