Company Name,Ticker,Market Cap (mil),Avg Volume,Last Close,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),% Price Change (YTD),Zacks Industry Rank,Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Operating Margin 12 Mo %,Net Margin %,Current ROE (TTM),52 Week High,52 Week Low,Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Zacks Rank,Industry,Sector
10x Genomics,TXG,4412.36,2987906,34.755,20.51,46.77,78.41,113.09,151,5.25,8.94,613.94702,146.972,-3.55,-3.55,-2.86,34.76,10.79,100,94.48,3,Medical Info Systems,Medical
3M,MMM,83763.7,3653695,160.6,1.44,5.35,12.28,0.31,152,1.52,-8.7,25206.85937,6370.74609,18.26,11.14,104.75,174.61,141.2,58.07,-8.45,3,Diversified Operations,Conglomerates
A. O. Smith,AOS,8024.38,1609928,58.22,-1.46,1.64,-9.62,-12.95,85,0.32,2.17,3909.4331,993.11401,13.84,13.84,28.42,80.47,55.78,9.88,-20.55,5,Manufacturing - Electronics,Industrial Products
A10 Networks,ATEN,2394.66,1178670,33.26,4.72,14.06,48.88,88.02,84,11.03,2.74,325.01,77.26499,23.04,14.9,25,33.26,16.55,100,71.6,2,Internet - Software,Computer and Technology
ACADIA Pharmaceuticals,ACAD,3702.12,1113675,21.62,2.51,2.46,4.19,-19.06,156,11.87,24.27,1241.26501,293.82199,9.24,34.3,9.61,28.06,20.06,19.5,-26.13,4,Medical - Biomedical and Genetics,Medical
ACM Research,ACMR,6727.68,1732440,109.87,16.94,49.79,174.2,178.5,235,15.24,40.81,1126.64001,266.902,10.75,9.48,4.17,109.87,23.92,100,154.18,4,Semiconductor Equipment - Material Services,Computer and Technology
ADEIA INC,ADEA,3508.44,2166973,31.81,-0.34,18.43,31.5,84.41,172,17.91,-22.24,416.73498,96.07499,43.5,26.5,39.49,33.63,11.74,91.69,68.3,3,Technology Services,Business Services
"ADTRAN Holdings, Inc.",ADTN,1229.55,2683299,15.18,-0.52,-3.13,17.4,74.68,26,17.46,14.35,1182.87695,293.26,2.19,-3.18,10.94,19.4,7.25,65.27,59.43,3,Communication - Components,Computer and Technology
AECOM,ACM,8843.66,2422621,68.81,-1.87,-4.48,-19.48,-27.82,68,0.21,5.63,7924.5498,2089,9.55,3.16,28.52,134.35,68.58,0.35,-34.12,3,Engineering - R and D Services,Construction
