Company Name,Ticker,Market Cap (mil),Avg Volume,Last Close,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),% Price Change (YTD),Zacks Industry Rank,Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Operating Margin 12 Mo %,Net Margin %,Current ROE (TTM),52 Week High,52 Week Low,Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Zacks Rank,Industry,Sector
"Arch Capital Group","ACGL","32273.12","2336577","92.37","1.16","-4.62","-1.02","-3.7","83","14.27","23.01","18200.12304","4598.45019","21.73","24.64","17.61","101.98","84.72","44.32","-11.16","3","Insurance - Property and Casualty","Finance"
"Acadia Healthcare","ACHC","2161.23","2409505","23.5","-1.71","-2.37","-3.33","65.61","110","5.04","8.83","3406.80908","860.54602","5.31","-32.84","7.09","28.26","11.68","71.29","52.78","3","Medical - Hospital","Medical"
"Albertsons Companies","ACI","7126.25","7027792","14.41","-5.69","-15.48","-13.04","-16.08","110","3.46","3.76","82430.15625","18970.85546","1.45",".26","42.75","22.74","14.41","0","-22.57","2","Consumer Products - Staples","Consumer Staples"
"AECOM","ACM","8922.06","2534618","69.42","1.22","-2.87","-21.6","-27.18","80",".21","5.63","7924.5498","2089","9.55","3.16","28.52","134.35","68.58","1.28","-32.82","3","Engineering - R and D Services","Construction"
"ACM Research","ACMR","5890.01","1723138","96.19","20.3","34.34","110.76","143.83","234","15.24","40.81","1126.64001","266.902","10.75","9.48","4.17","96.19","23.92","100","124.95","4","Semiconductor Equipment - Material Services","Computer and Technology"
"Accenture","ACN","103815.71","4768159","156.01","-8.5","-12.95","-18.87","-41.85","167","7.36","6.92","74067.65625","18530.44335","11.69","10.61","26.33","314.33","156.01","0","-46.36","3","Computers - IT Services","Computer and Technology"
"iShares MSCI ACWI ETF","ACWI","32564.29","3271564","155.81","2.35",".46","11.82","10.12","110","","","","","","","","159.97","123.74","88.52","1.59","","Financial - Investment Funds","Finance"
"Adobe","ADBE","78021.3","7258556","196.28","-15.9","-22.53","-17.27","-43.92","161","10.53","10.91","26444.28906","6654.30908","37.44","28.69","65.11","401.73","196.28","0","-48.26","3","Computer - Software","Computer and Technology"
"Agree Realty","ADC","8864.79","1179642","73.81","-2.28","-2.29","-.55","2.47","91","16.42","21.02","817.60302","201.88099","30.76","29.25","3.95","81.92","70.22","30.68","-5.46","3","REIT and Equity Trust - Retail","Finance"
"ADEIA INC","ADEA","3461.02","2163273","31.38","1.72","18.82","24.42","81.91","173","17.91","-22.24","416.73498","96.07499","43.5","26.5","39.49","33.63","11.74","89.72","67.83","3","Technology Services","Business Services"
"Analog Devices","ADI","201873.23","4653414","414.45","5.55","4.12","28.7","52.82","5","16.89","5.53","14577.63476","3925.37304","38.18","26.01","14.37","437.67","220.68","89.3","40.99","2","Semiconductor - Analog and Mixed","Computer and Technology"
"Archer Daniels Midland","ADM","36869.67","3224380","76.5","-5.88","-1.35","6.75","33.07","110","-6.15","-1.41","85444.92187","22510.99023","2.07","1.34","7.37","84.11","51.98","76.32","22.76","2","Agriculture - Operations","Consumer Staples"
"Automatic Data Processing","ADP","87445.87","2407791","218.76","-5.34","-.87","8.24","-14.96","84","7.07","7.82","21919.78515","5426.82812","20.16","20.12","68.82","311.4","188.79","24.44","-21.54","3","Internet - Software","Computer and Technology"
"Adaptive Biotechnologies","ADPT","2685.54","3025446","16.78","-1.7","20.2","18.59","3.33","153","54.77","12.24","288.10198","67.37799","-28.24","-16.82","-40.06","20.46","10.14","64.34","-4.68","3","Medical - Biomedical and Genetics","Medical"
"Autodesk","ADSK","40737.77","2896293","193.07","-12.75","-20.75","-17.99","-34.78","84","17.53","12.72","8189.55908","2009.10302","31.67","19.49","57.14","326.79","193.07","0","-39.83","3","Internet - Software","Computer and Technology"
"ADTRAN Holdings, Inc.","ADTN","1222.26","2753571","15.09",".94","4.28","19.38","73.65","19","17.46","14.35","1182.87695","293.26","2.19","-3.18","10.94","19.4","7.25","64.53","60.2","3","Communication - Components","Computer and Technology"
"Adyen","ADYEY","31579.22","1206020","10.01","9.52","-9.82","-3.93","-37.32","84","11.03","","3349.72998","793.48999","","","","19.4","9.04","9.36","-42.17","2","Internet - Software","Computer and Technology"
"Ameren","AEE","30143.79","1609668","108.92",".14",".21","1.04","9.07","154","15.43","6.67","9474.94628","2339.44995","16.19","17.17","10.94","114.32","94.38","72.92",".63","3","Utility - Electric Power","Utilities"
"Aehr Test Systems","AEHR","3542.27","1897194","112.62","20.68","36.77","188.55","457.8","16","-10.95","17.38","86.59999","14.6","-6.39","-25.23","-7.15","116.58","11.15","96.24","414.61","3","Electronics - Measuring Instruments","Computer and Technology"
"Agnico Eagle Mines","AEM","87802.98","2629841","172.99","13.45","-2.9","-9.93","2.04","164","43.71","28.73","16658.39257","3941.51","37.8","39.46","21.09","252.19","116.12","41.79","-5.86","3","Mining - Gold","Basic Materials"
"American Eagle Outfitters","AEO","2865.5","6243913","17.1","-2.45","4.27","3.51","-35.15","88","3.16","3.07","5805.34814","1365.84301","6.08","5.01","20.95","28.19","9.58","40.41","-40.18","3","Retail - Apparel and Shoes","Retail-Wholesale"
"American Electric Power","AEP","69792.35","4551247","128.27","-.2","-.47","-.02","11.24","154","10.93","5.93","24147.85156","5447.96191","14.52","16.29","10.21","137.15","101.2","75.3","2.63","3","Utility - Electric Power","Utilities"
"Aercap","AER","24050.25","1265447","144.12","6.7","3.35","4.57",".25","29","6.5","12.54","8418.21289","2068.85498","33.58","45.22","16.01","154.83","107.25","77.49","-7.51","3","Transportation - Equipment and Leasing","Transportation"
"AES","AES","10419.23","7993225","14.61","-.14","-.81","3.91","1.88","154","-.37","2.15","13785.57714","3100","15.68","10.78","22.66","17.28","10.15","62.55","-6.01","3","Utility - Electric Power","Utilities"
"Atlas Energy Solutions Inc.","AESI","2008.48","2524179","16.08","-5.58","-18.58","18.58","70.7","191","3.73","32.48","1098.72302","275.57998","-8.5","-9.29","-7.42","19.75","8.1","68.5","57.48","3","Oil and Gas - Integrated - United States","Oils-Energy"
"Aeva Technologies","AEVA","1480.83","2537758","23.49","3.53","11.27","53.93","76.88","150","99.44","21.53","32.63499","6.13","-482.33","-693.94","-603.21","37.79","9.19","50","63.19","4","Automotive - Original Equipment","Auto-Tires-Trucks"
"Aflac","AFL","59164.4","2793252","116.24","-.74","-.84","8.42","5.41","179","-9.31","-6.02","17067.2871","4271.43505","21.77","25.6","13.88","118.67","98.09","88.19","-2.75","3","Insurance - Accident and Health","Finance"
"Affirm","AFRM","23687.38","4719270","70.73","12.61","5.38","57","-4.97","84","39.66","36.16","4210.64404","1106.82397","9.63","9.63","11.17","92.18","42.53","56.8","-12.33","3","Internet - Software","Computer and Technology"
"First Majestic Silver","AG","9145.68","11297128","18.55","18.08","-6.97","-10.73","11.35","29","124.25","14.12","1352","","23.28","19.51","11.19","32.01","7.83","44.33","2.72","3","Mining - Silver","Basic Materials"
"iShares Core U.S. Aggregate Bond ETF","AGG","137738.45","7690492","98.61",".31",".4","-.5","-1.27","110","","","","","","","","101.4","97.63","26","-8.92","","Financial - Investment Funds","Finance"
"Alamos Gold","AGI","15640.87","3582642","37.31","13.03","-5.59","-10.85","-3.29","164","34.29","21.07","2561","","36.63","51.24","18.03","55.33","24.3","41.93","-10.78","3","Mining - Gold","Basic Materials"
"AGNC Investment","AGNC","11823.67","13166750","10.3","1.18",".49","1.58","-3.92","211","19.46","31.9","1465.71997","361.51998","212.81","39.5","18.31","12.17","9.19","37.25","-11.36","3","REIT and Equity Trust","Finance"
"American Healthcare REIT, Inc.","AHR","8965.44","2726621","46.52","-.64","-9.98","-2.96","-1.15","73","9.15","11.46","2767.04711","","4.24","4.23","3.33","53.19","35.2","62.92","-8.8","3","REIT and Equity Trust - Other","Finance"
"C3.ai","AI","1495.05","8200316","10.29","-4.72","10.88","24.27","-23.67","167","-35.67","10.28","221.49299","50.991","-75.79","-187.95","-60.2","29.16","7.76","11.82","-29.58","3","Computers - IT Services","Computer and Technology"
"American International Group","AIG","39643.52","3497986","74.77","-.23","-4.18","-.93","-12.6","107","-1.75","-15.41","29164.52148","7294.21484","16.14","11.86","10.93","86.59","71.89","19.59","-19.37","2","Insurance - Multi line","Finance"
"Arthur J. Gallagher & Co.","AJG","55513.52","1607089","216.09","-1.84","6.13","1.18","-16.5","163","22.29","14.31","16777.11523","4031.40991","20.24","10.76","12.83","325.98","192","17.98","-22.97","3","Insurance - Brokerage","Finance"
"Akamai Technologies","AKAM","18588.26","3786926","127.855","-1.63","-10.93","7.31","46.54","164","5.44","5.04","4494.45214","1093.09497","24.13","10.2","12.96","161.14","70.53","63.27","35.19","5","Internet - Services","Computer and Technology"
"Acadia Realty Trust","AKR","2826.56","1536348","21.17","-1.07","-1.17","10.49","3.07","91","14.2","7.93","","","9.77","9.77","1.51","22.53","18.07","69.51","-4.91","4","REIT and Equity Trust - Retail","Finance"
"Astera Labs, Inc.","ALAB","64223.12","5586580","374.68","13.24","30.33","211.38","125.22","84","115.13","","1534.651","360.21398","38.05","26.72","18.49","389.2","85.95","95.21","107.78","3","Internet - Software","Computer and Technology"
"Albemarle","ALB","19643.2","2096468","166.56","13.14","-2.14","-8.18","17.76","101","-4.37","8.46","5988.49218","1481.08801","7.53","-5","5.22","215.62","56.66","69.14","8.64","1","Chemical - Diversified ","Basic Materials"
"Alcon","ALC","31724.69","1914386","64.14","-2.98","-4.67","-14.78","-18.61","155","4.94","5.99","11079.25","2769","14.89","7.7","7.11","92.22","62.02","7.02","-24.92","3","Medical - Instruments","Medical"
"Allegro MicroSystems","ALGM","10052.29","2239276","53.98","21.19","21.77","65.43","104.63","58","22.77","4.02","1056.60498","252.99","11.24","-1.67","6.09","55","22.8","96.83","88.78","2","Electronics - Semiconductors","Computer and Technology"
"Alignment Healthcare","ALHC","4428.24","6172919","21.42","4.18","28.57","21.84","8.46","152","46.06","34.83","5190.09814","1317.36694",".47",".47","11.5","23.81","11.64","80.36",".06","1","Medical Services","Medical"
"Alaska Air Group","ALK","5378.68","3212027","48.27","15.81","21.13","22.89","-4.04","201","21.34","24","15836.58593","4098.20996","1.36",".51","4.96","63.86","34.19","47.46","-11.47","3","Transportation - Airline","Transportation"
"Alkermes","ALKS","7418.74","1862780","44.51","1.53","20.36","51.55","59.08","153","-5.25","8.74","1810.656","453.17098","11.59","9.78","9.26","44.92","26.13","97.82","46.76","3","Medical - Biomedical and Genetics","Medical"
"Alkami Technology","ALKT","1614.92","1424587","15.09",".53","-10.39","-4.91","-34.59","84","32.89","30.04","534.513","131.19999","8.9","-10.55","-8.91","30.81","14.91","1.13","-39.66","3","Internet - Software","Computer and Technology"
"Allstate","ALL","57059.93","1485868","221.66","-.75","-.14","8.28","6.49","83","5.58","8.36","71401.75","17724.8125","16.48","17.81","42.66","224.58","190","91.56","-1.76","3","Insurance - Property and Casualty","Finance"
"Ally Financial","ALLY","13946.8","3343864","45.5","8.64","6.76","15.98",".46","48","-3.26","-.6","8795.45019","2242.04003","17.33","16.47","11.41","47.06","35.96","85.95","-7.32","3","Financial - Consumer Loans","Finance"
"Almonty Industries Inc.","ALM","5218.05","5078471","18.28","19.48","3.63","11.87","107.49","158","10.56","","259.96301","52.657","-49.16","-262.29","-11.01","23.42","3.42","74.3","91.42","3","Mining - Miscellaneous","Basic Materials"
"Alumis Inc.","ALMS","2938.69","1150030","23.05","14.9","4.58","-7.09","136.17","153","","","8.97439","6.7367","-4592.5","-2825.7","-88.79","29.98","2.8","74.5","117.88","3","Medical - Biomedical and Genetics","Medical"
"Aeluma, Inc.","ALMU","455.07","1148033","24.86","11.48","18.66","93.92","44.79","58","407.62","","","","-39.4","-115.57","-12.03","31.49","10.73","68.06","33.58","","Electronics - Semiconductors","Computer and Technology"
"Alnylam Pharmaceuticals","ALNY","37746.68","1059391","282.72","-2.92","-5.28","-13.99","-28.9","153","65.19","45.11","5653.11376","1321.29003","20.6","11.72","85.76","491.22","281.9",".39","-34.41","3","Medical - Biomedical and Genetics","Medical"
"REalloys Inc.","ALOY","1016.76","2660373","16.61","19.41","85.79","54.94","105.19","173","-5.3","-22.51","","","-4329.05","-4326.08","-382.09","25.88","5.5","54.51","89.3","","Technology Services","Business Services"
"Antero Midstream","AM","10159.82","2034659","21.39","-.47","-3.13","-9.36","20.24","191","7.43","7.65","1279.15405","319.79","33.9","33.9","20.38","23.6","16.87","67.16","10.93","3","Oil and Gas - Integrated - United States","Oils-Energy"
"Applied Materials","AMAT","470754.41","8476239","592.92","19.3","38.91","60.53","130.72","58","4.39","4.73","33285.28515","8996.02148","27.24","29.31","36.97","592.92","156.25","100","112.85","2","Electronics - Semiconductors","Computer and Technology"
"Ambarella","AMBA","2890.04","1805427","65.88","5.19","-20.63","21.8","-7","58","37.15","1.86","441.92498","108.02799","7.13","-17.19","-10.94","95.51","48.65","36.77","-14.2","3","Electronics - Semiconductors","Computer and Technology"
"Amcor","AMCR","18849.83","3395181","40.77","6.81","7.04",".54","-2.23","185","10.04","5.75","23212.31445","6074.44189","7.67","3.06","14.55","50.58","36.69","29.37","-9.8","3","Containers - Paper and Packaging","Industrial Products"
"Advanced Micro Devices","AMD","835650.19","29756838","512.48","13.28","14.5","132.66","139.3","14","34.34","17.68","48796.44531","11242.7871","20.1","13.37","9.55","547.26","126.39","91.74","120.77","3","Computer - Integrated Systems","Computer and Technology"
"AMETEK","AME","53007.78","1133305","231.27","4.28","2.92","7.4","12.64","29","6.63","7.73","8000.47998","1957.88","23.23","20.11","16.63","241.46","175.55","84.54","3.92","3","Electronics - Testing Equipment","Computer and Technology"
"Amgen","AMGN","184396.75","2624653","341.66","1.16","3.04","-3.47","4.38","153","9.95","9.26","37823.20312","9442.38964","32.21","20.96","137.41","388.16","271.18","60.25","-3.7","3","Medical - Biomedical and Genetics","Medical"
"American Homes 4 Rent","AMH","11477.76","2386242","31.83","-4.18","-1.15","15.58","-.84","173","7.03","9.06","1890.53002","466.134","25.27","25.27","6.08","36.8","27.38","47.24","-8.52","4","REIT and Equity Trust - Residential","Finance"
"Amkor Technology","AMKR","21423.62","6156051","86.43","24.16","26.19","73.1","118.92","58","6.18","1.65","7590.63818","1803.234","6.17","6.17","9.88","86.55","20.16","99.82","101.97","3","Electronics - Semiconductors","Computer and Technology"
"Amylyx Pharmaceuticals","AMLX","1695.59","1245912","15.25","13.3","12.05","10.27","26.24","149","-77.06","","","","22448.42","","-55.69","18.36","5.02","76.69","16.47","3","Medical - Drugs","Medical"
"AMN Healthcare Services","AMN","1255.89","1031146","32.38","10.21","20.55","71.41","105.46","105","-8.49","-8.94","3251.9851","625.90002","3.43","-.95","18.01","32.38","15.1","100","89.55","3","Business - Services","Business Services"
"Amprius Technologies, Inc.","AMPX","2124.41","8224380","15","-8.7","-.46","-16.34","90.11","173","202.11","192.84","132.893","29.07799","-19.03","-43.98","-17.48","22.91","3.45","59.35","75.39","4","Technology Services","Business Services"
"Amneal Pharmaceuticals","AMRX","5193.69","1831396","16.28","6.27","33.12","32.79","29.21","149","8.05","9.7","3121.97509","767.80499","9.59","4.01","-313.96","16.34","7.82","99.3","19.2","3","Medical - Drugs","Medical"
"Amrize Ltd","AMRZ","29999.17","3501119","54.24","7.38","8.48","-3.35",".3","191",".95","","12474.30273","3384.77709","10.67","9.7","9.84","65.86","46.65","39.51","-7.47","3","Building Products - Miscellaneous","Construction"
"American Superconductor","AMSC","1913.98","1367028","40.13","9.11","-18.47","19.58","39.44","65","34.26","29.67","361.95001","86.44999","52.85","44.73","32.19","66.68","25.95","34.81","28.64","3","Electronics - Miscellaneous Components","Computer and Technology"
"American Tower","AMT","84368.57","2882408","181.09","-5.93","-1.59","8.26","3.14","73","5.11","3.21","10914.33105","2708.10595","26.81","26.81","27.79","232.35","167.27","21.24","-4.84","3","REIT and Equity Trust - Other","Finance"
"Amentum Holdings, Inc.","AMTM","5252.8","1777119","21.5","-2.27","-4.44","-19.6","-25.86","80","71.59","","14197.74707","3596.94311","4","1.04","11.74","37.53","21.48",".12","-31.6","3","Engineering - R and D Services","Construction"
"America Movil, S.A.B. de C.V. Unsponsored ADR","AMX","79614.5","1305162","26.45","4.01","-.86","4.17","27.96","225","3.21",".99","55592.82812","13842.07519","9.23","9.23","19.77","27.75","17","87.91","18.05","3","Wireless Non-US ","Computer and Technology"
"Amazon.com","AMZN","2554813.5","40340292","237.5","-.21","-10.38","12.18","2.89","110","12.38","11.2","826691.75","196441.28125","10.44","12.22","19.92","274.99","198.79","50.8","-5.07","3","Internet - Commerce","Retail-Wholesale"
"Arista Networks","ANET","207680.27","8164802","164.93","8.68","17.4","22.16","25.87","84","28.6","31.41","11568.44531","2821.08496","41.61","38.32","30.1","177.73","86.25","86.01","16.13","3","Internet - Software","Computer and Technology"
"Abercrombie & Fitch","ANF","3763.81","1608666","84.71","-.73","13.35","-4.34","-32.7","88","6.42","10.14","5459.63183","1256.19201","8.8","9.34","34.36","129.85","65.61","29.73","-37.91","3","Retail - Apparel and Shoes","Retail-Wholesale"
"Aon","AON","69773.45","1424154","326.69","-2.87","1.73","1.63","-7.42","163","9.45","9.31","17947.39843","4265.28515","22.1","22.54","43.5","375.27","308.27","27.49","-14.59","3","Insurance - Brokerage","Finance"
"A. O. Smith","AOS","7977.52","1537798","57.88","1.15","2.12","-13.48","-13.46","84",".32","2.17","3909.4331","993.11401","13.84","13.84","28.42","80.47","55.78","8.51","-20.16","5","Manufacturing - Electronics","Industrial Products"
"APA","APA","11990.88","4798011","33.93","-10.71","-13.71","-17.89","38.72","108","-5.31","4.69","9289.00195","2497.44995","16.52","17.38","20.7","44.39","17.8","60.66","27.97","3","Oil and Gas - Exploration and Production - United States","Oils-Energy"
"Air Products and Chemicals","APD","62740.29","1170486","281.75","1.89","-2.57","-2.88","14.06","101","-.52","2.47","12698.25097","3172.69897","22.98","16.91","16.11","306.2","230.76","67.59","5.23","3","Chemical - Diversified ","Basic Materials"
"APi Group","APG","18113.26","2708814","41.81","1.09","-.55","-.83","9.28","105","12.72","16.15","8681.41015","2199.12695","15.35","3.85","37.63","49.4","32.43","55.26",".82","3","Business - Services","Business Services"
"Apogee Therapeutics Inc.","APGE","5474.06","1074932","88.43","6.9","8.65","12.61","17.16","153","","","","","","","-32.64","92.2","34.65","93.45","8.08","3","Medical - Biomedical and Genetics","Medical"
"Amphenol","APH","198203.08","10214762","161.11","7.97","30.93","25.15","19.22","29","51.71","18.12","33336.41015","8183.89013","18.71","17.24","37.44","166.25","92.8","93","9.99","2","Electronics - Connectors","Computer and Technology"
"Applied Digital Corporation","APLD","13022.52","21538638","45.57","17.09","15.31","60.63","85.85","109","-12.91","98.27","783.65002","172.5","-51.18","-52.84","-15.91","49.65","9.18","89.92","71.46","5","Financial - Miscellaneous Services","Finance"
"Apple Hospitality REIT","APLE","3836.1","2677080","16.25","2.46","11.76","35.76","37.13","73","-1.33","12.51","1447.92004","393.73001","12.08","12.08","5.43","16.37","11.17","97.69","26.51","2","REIT and Equity Trust - Other","Finance"
"Apollo Global Management","APO","80084.05","3068056","138.91","5.93","5.04","26.51","-4.04","210","22.73","54.44","5351.22216","1310.46997","127.65","3.62","14.43","156.05","100.3","69.26","-11.47","4","Financial - Investment Management","Finance"
"AppLovin","APP","161079.88","4917502","479.49","-2.74","-.58","9.8","-28.84","173","16.38","22.85","8263.97753","1940.25598","63.52","64.29","219.37","733.6","324.7","37.85","-34.35","3","Technology Services","Business Services"
"APTIV PLC","APTV","13304.58","3862901","62.87","-3.57","15.21","-11.31","-17.37","173","3.47","6.68","15054.92675","3297.55908","8.23","1.77","17.83","88.67","52.57","28.53","-23.77","5","Technology Services","Business Services"
"Antero Resources","AR","10503.44","4481015","33.9","-4.88","-10.74","-24.11","-1.63","108","21.97","1.53","6859.31201","1520.58996","11","16.39","7.8","45.15","29.87","26.37","-9.24","3","Oil and Gas - Exploration and Production - United States","Oils-Energy"
"Ares Capital","ARCC","12996.21","4754414","18.1","-4.94","-3.21",".22","-10.53","202","2.07","15.54","3142.927","776.52301","45.34","37.3","9.85","23.25","17.45","11.21","-17.46","3","Financial - SBIC & Commercial Industry","Finance"
"Alexandria Real Estate Equities","ARE","8575.8","1973315","49.21","-5.93","2.86","4.08",".55","73","-2.88","9.79","2605.24804","642.56201","-36.03","-36.03","-5.21","87.45","40.41","18.71","-7.23","3","REIT and Equity Trust - Other","Finance"
"Ares Management","ARES","42335.95","2241865","128.35",".03","5.11","20.52","-20.59","210","44.19","9.3","6077.19384","1356.406","33.24","10.54","22.14","192.76","96.5","33.09","-26.74","3","Financial - Investment Management","Finance"
"Apollo Commercial Real Estate Finance","ARI","1403.76","1304873","10.72","-1.56","-2.37",".85","10.74","211","-10.56",".65","169.96","53.77","97.02","48.01","7.87","11.22","9.62","68.75","2.17","3","REIT and Equity Trust","Finance"
"Aris Mining Corporation","ARIS","3525.61","1288813","17.08","20.11","-2.46","-2.29","5.24","164","81.68","24.17","","","29.53","15.19","20.97","22.68","6.56","65.26","-2.91","5","Mining - Gold","Basic Materials"
"Arlo Technologies","ARLO","1378.26","1026542","12.69","3","-2.76","-13.79","-9.29","84","3.6","4.6","565.46301","148.347","16.35","5.47","18.66","19.44","11.23","17.78","-16.32","3","Internet - Software","Computer and Technology"
"ARM Holdings PLC Sponsored ADR","ARM","447396.81","12439412","418.88","36.25","63.16","166.68","283.2","58","22.79","23.82","5951.5708","1266.26696","38.56","18.37","12.43","418.88","104.55","100","253.53","3","Electronics - Semiconductors","Computer and Technology"
"Aramark","ARMK","14065.39","2410876","53.49",".36","3.8","28.99","45.12","203","6.35","8.77","19963.04492","4950.31494","2.79","1.84","17.05","54.53","36.04","94.38","33.88","3","Retail - Restaurants","Retail-Wholesale"
"Archrock","AROC","6218.28","1589859","35.48","-.59","-4.85","-3.74","36.36","177","28.7","16.32","1552.19494","390.39999","22.04","21.45","22.89","39.83","22","75.6","25.8","3","Oil and Gas - Field Services","Oils-Energy"
"ARQIT QUANTUM","ARQQ","345.59","1087016","22.6","72.65","72.65","65.93","3.29","84","80.89","","2.482","","","","","58.27","11.78","23.27","-4.71","3","Internet - Software","Computer and Technology"
"Arcutis Biotherapeutics","ARQT","3279.69","1499774","26.22","12.87","28.09","15.3","-9.71","153","91.34","188.19","498.962","119.4","-.57","-.57","-1.41","31.2","13.26","72.24","-16.7","4","Medical - Biomedical and Genetics","Medical"
"ARMOUR Residential REIT","ARR","2069.09","2938138","16.68","-.89","1.28","1.77","-5.71","211","45.28","68.13","258.20001","59.2","167.45","27.43","15.39","19.12","14.05","51.87","-13.01","3","REIT and Equity Trust","Finance"
"Arrowhead Pharmaceuticals","ARWR","11415.05","1416199","81.04","14.58","5.06","33.35","22.07","153","23258.15","46.7","472.66101","62.09999","-48.38","-48.38","-55.09","81.04","14.71","100","12.61","","Medical - Biomedical and Genetics","Medical"
"Accelerant Holdings","ARX","2862.8","1425512","13.12","-7.08","-21.39","1.63","-19.76","163","51.49","","1085.86901","273.95498","26.6","-135.47","49.99","30.05","9.36","18.17","-25.97","2","Insurance - Brokerage","Finance"
"Amer Sports, Inc.","AS","19439.97","3747938","35.1","3.97",".75","4.4","-6.02","95","26.68","","7929.18798","1542.953","8.74","6.5","10.29","41.96","29.54","44.77","-13.3","3","Leisure and Recreation Products","Consumer Discretionary"
"Associated BancCorp","ASB","5458.33","1808850","28.94","1.12","3.39","14.66","12.35","60","2.81","23","1742.72998","443.14999","32.12","19.88","10.46","29.56","22.63","91.05","3.64","3","Banks - Midwest","Finance"
"ASML Holding","ASML","734587.13","1860329","1867.83","7.71","20.5","34","74.59","29","20.81","14.41","45349.34375","10283.73046","27.65","27.65","48.69","1899.48","689.63","97.38","61.07","3","Semiconductor Equipment - Wafer Fabrication","Computer and Technology"
"Academy Sports and Outdoors","ASO","3077.35","1587887","49.62","-.52","-1.94","-6.96","-.68","95","2.02","-2.25","6313.3081","1658.80297","6.56","6.24","17.85","61.19","41.73","40.54","-8.37","3","Leisure and Recreation Products","Consumer Discretionary"
"Strive, Inc.","ASST","1128.4","5258068","15.44","7","-9.07","42.3","4.61","210","804.42","214.13","11.52","2.88","-10226.44","-9655.92","-139.1","178.2","7.16","4.84","-3.49","3","Financial - Investment Management","Finance"
"AST SpaceMobile","ASTS","33157.48","26780884","85.43","-2.16","-4.63","-11.07","17.62","214","1505.21","13.61","164.755","34.316","-573.67","-573.67","-24.87","133.09","36.91","50.45","8.52","4","Wireless Equipment","Computer and Technology"
"ASE Technology","ASX","83248.39","10888806","37.44","9.15","18.15","67.14","132.55","58","11.82","-.95","24856.56054","5987.68017","7.03","7.03","13.48","40.6","9.5","89.84","114.54","1","Electronics - Semiconductors","Computer and Technology"
