Company Name,Ticker,Market Cap (mil),Avg Volume,Last Close,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),% Price Change (YTD),Zacks Industry Rank,Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Operating Margin 12 Mo %,Net Margin %,Current ROE (TTM),52 Week High,52 Week Low,Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Zacks Rank,Industry,Sector
"Agilent Technologies","A","35114.77","2569842","124.33","-5.54","9.27","10.05","-8.63","160","6.73","1.56","7417.93798","1842.61804","22.83","19.55","24.33","157.2","110.24","30","-15.7","3","Medical - Products","Medical"
"Alcoa","AA","16289.92","4867530","61.73","-5.83","-3.76","5.16","16.17","77","7.87","1.21","15655.67089","3982.63305","6.36","8.27","12.57","83.79","27.86","60.56","7.17","3","Metal Products - Distribution","Industrial Products"
"American Airlines","AAL","10198.56","102577264","15.42","14.9","19.07","43.58",".59","201",".78","17.91","61940.69531","16677.86132",".64",".36","-9.11","16.26","10.18","86.18","-7.2","3","Transportation - Airline","Transportation"
"Applied Optoelectronics","AAOI","13427.82","13029349","167.34","-4.45","1.26","46.26","380.03","58","82.75","16.19","988.29998","191.13299","-3.91","-8.55","-4.64","223.1","16.78","72.97","342.86","3","Electronics - Semiconductors","Computer and Technology"
"Advance Auto Parts","AAP","3503.43","2261776","58.1","-2.12","13.39","10.18","47.84","179","-5.42","-5.26","8575.58593","2033.72497","2.28",".51","8.95","66.5","38.75","69.73","36.39","3","Automotive - Retail and Wholesale - Parts","Retail-Wholesale"
"Apple","AAPL","4346723","48413772","295.95","1.5","-2.08","17.15","8.86","24","6.43","3.23","478099.9375","108707","27.15","27.15","146.69","315.2","195.64","83.9",".43","3","Computer - Micro Computers","Computer and Technology"
"AbbVie","ABBV","390867.56","4980556","221.23","-1.65","4.21","6.78","-3.18","97","8.57","1.57","67321.51562","16800.02343","28.85","5.79","-576.45","244.38","182.31","62.7","-10.68","3","Large Cap Pharmaceuticals","Medical"
"Airbnb","ABNB","84704.14","3494910","140.54","8.86","3.68","6.62","3.55","184","10.26","20.64","13974.92773","3581.82299","19.9","19.9","31.24","144.18","111.54","88.85","-4.47","3","Leisure and Recreation Services","Consumer Discretionary"
"Abbott Laboratories","ABT","154150.41","11632585","88.5","-.75",".14","-15.58","-29.36","160","5.67",".27","50490.74609","12526.49707","20.26","13.9","17.62","138.08","82.56","10.7","-34.83","4","Medical - Products","Medical"
"Abivax SA Sponsored ADR","ABVX","7988.98","3000096","100.15","2.16","-16.47","-9.53","-25.74","153","","","3.7867","1.89999","","","-99.02","145.31","5.97","67.59","-31.49","3","Medical - Biomedical and Genetics","Medical"
"ACADIA Pharmaceuticals","ACAD","3698.7","1104462","21.6","1.65","3.1","-1.86","-19.13","153","11.87","24.27","1241.26501","293.82199","9.24","34.3","9.61","28.06","20.06","19.25","-25.39","4","Medical - Biomedical and Genetics","Medical"
